# Mamba-Decoupled-EKF Training Log (cleaned — epoch summaries only)
# Config: train_nuscenes.yaml  |  Samples: Train=679,050  Val=131,343  K=3
# Model: TemporalMamba  |  Params: 89,154  |  Device: cuda
#
12:34:10 [INFO] Train: 679050 samples, 5305 batches (K=3)
12:34:10 [INFO] Val:   131343 samples, 1027 batches (K=3)
12:34:10 [INFO] TemporalMamba: 89,154 trainable parameters
13:32:14 [INFO] Epoch 25/100 (120.7s) | train_loss=-68.3582 pos=1.5312 siz=-3.2121 ori=-0.0009 contrast=0.8971 | val_loss=-66.6339 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:34:34 [INFO] Epoch 26/100 (121.3s) | train_loss=-68.3852 pos=1.5313 siz=-3.2128 ori=-0.0009 contrast=0.8989 | val_loss=-66.7260 val_pos=1.5348 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:36:53 [INFO] Epoch 27/100 (120.8s) | train_loss=-68.4141 pos=1.5312 siz=-3.2130 ori=-0.0009 contrast=0.8756 | val_loss=-66.7728 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:39:11 [INFO] Epoch 28/100 (118.7s) | train_loss=-68.3977 pos=1.5313 siz=-3.2131 ori=-0.0009 contrast=0.9032 | val_loss=-66.7400 val_pos=1.5354 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:41:29 [INFO] Epoch 29/100 (120.7s) | train_loss=-68.3575 pos=1.5313 siz=-3.2122 ori=-0.0009 contrast=0.9001 | val_loss=-66.6358 val_pos=1.5349 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:43:46 [INFO] Epoch 30/100 (118.7s) | train_loss=-68.3689 pos=1.5313 siz=-3.2123 ori=-0.0009 contrast=0.8828 | val_loss=-66.7564 val_pos=1.5349 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:46:05 [INFO] Epoch 31/100 (120.9s) | train_loss=-68.4666 pos=1.5312 siz=-3.2141 ori=-0.0009 contrast=0.8700 | val_loss=-66.8001 val_pos=1.5348 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:48:26 [INFO] Epoch 32/100 (123.2s) | train_loss=-68.3638 pos=1.5312 siz=-3.2124 ori=-0.0009 contrast=0.9159 | val_loss=-66.6890 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:50:44 [INFO] Epoch 33/100 (120.8s) | train_loss=-68.4843 pos=1.5313 siz=-3.2145 ori=-0.0009 contrast=0.8662 | val_loss=-66.8501 val_pos=1.5353 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:53:03 [INFO] Epoch 34/100 (122.3s) | train_loss=-68.4039 pos=1.5313 siz=-3.2134 ori=-0.0009 contrast=0.9270 | val_loss=-66.7430 val_pos=1.5349 | kappa_m=0.001 kappa_s=0.000 | NaN=0
